AGENT,CATEGORY,ISSUE_TYPE,PAGE_URL,ELEMENT,MESSAGE,SEVERITY,RECOMMENDATION,WCAG,IMPACT,HELP_URL,TIMESTAMP
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/online-degree-programs/graduate/clinical-research-nursing-degree/,"<img src=""data:image/svg+xml,%3csvg%20aria-hidden=... [data-uri]"" alt=""Next start date: "">","Image uses a generic placeholder ""Next start date: "" as alt text, which provides no value to screen reader users.",medium,"If this image is decorative, use alt="""" so screen readers ignore it.",1.1.1 (A),moderate,https://www.w3.org/TR/WCAG21/#non-text-content,"5/1/2026, 11:35:18 PM"
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/online-degree-programs/graduate/clinical-research-nursing-degree/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/image-section-diploma-info.jpg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Will my diploma say ‘online’?"" section.",1.1.1 (A),moderate,https://www.w3.org/TR/WCAG21/#non-text-content,"5/1/2026, 11:35:18 PM"
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/online-degree-programs/graduate/clinical-research-nursing-degree/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/2020-02/20180906EvgenyaShkolnik_04%402x.jpg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Learn from expert clinical research management and nursing faculty"" section.",1.1.1 (A),moderate,https://www.w3.org/TR/WCAG21/#non-text-content,"5/1/2026, 11:35:18 PM"
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/online-degree-programs/graduate/clinical-research-nursing-degree/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/cost-image.jpg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Describe the key information shown in the image related to ""Tuition calculator"".",1.1.1 (A),moderate,https://www.w3.org/TR/WCAG21/#non-text-content,"5/1/2026, 11:35:18 PM"
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/online-degree-programs/graduate/clinical-research-nursing-degree/,"<img src=""data:image/svg+xml,%3csvg%20aria-hidden=... [data-uri]"" alt=""Next start date: "">",Alt text quality issue: generic,medium,"Alt text ""Next start date: "" is too generic. If this image is decorative, use alt="""" so screen readers ignore it.",1.1.1 (A),moderate,https://www.w3.org/TR/WCAG21/#non-text-content,"5/1/2026, 11:35:18 PM"
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/online-degree-programs/graduate/clinical-research-nursing-degree/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/image-section-diploma-info.jpg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Will my diploma say ‘online’?"" section.",1.1.1 (A),moderate,https://www.w3.org/TR/WCAG21/#non-text-content,"5/1/2026, 11:35:18 PM"
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/online-degree-programs/graduate/clinical-research-nursing-degree/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/2020-02/20180906EvgenyaShkolnik_04%402x.jpg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Learn from expert clinical research management and nursing faculty"" section.",1.1.1 (A),moderate,https://www.w3.org/TR/WCAG21/#non-text-content,"5/1/2026, 11:35:18 PM"
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/online-degree-programs/graduate/clinical-research-nursing-degree/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/cost-image.jpg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Describe the key information shown in the image related to ""Tuition calculator"".",1.1.1 (A),moderate,https://www.w3.org/TR/WCAG21/#non-text-content,"5/1/2026, 11:35:18 PM"
